                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1447,                0.73815,                 1.1132,                0.96328,                0.87112,                 0.9102,                0.60876,                 1.0987,                 0.6096,                  1.117,               0.008317,               0.008317,               0.008317
                     36,                 1.1361,                0.72621,                 1.1074,                0.95735,                 0.8721,                0.91253,                 0.6143,                 1.0943,                 0.5846,                  1.104,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.132,                0.71229,                 1.1015,                0.96649,                0.87407,                0.91194,                0.60337,                 1.0986,                0.59058,                 1.1113,               0.008218,               0.008218,               0.008218
                     38,                 1.1296,                0.72298,                 1.1105,                0.96172,                0.87056,                0.91497,                0.61366,                 1.1003,                0.59702,                 1.1053,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1218,                0.69228,                 1.1079,                0.96461,                 0.8679,                0.91169,                0.61141,                 1.0936,                 0.5892,                 1.1085,               0.008119,               0.008119,               0.008119
                     40,                 1.1196,                0.70898,                 1.0929,                0.96182,                0.87853,                0.91779,                0.61638,                 1.0887,                0.57488,                 1.0911,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1076,                0.69665,                 1.0917,                0.96116,                0.87672,                0.91458,                 0.6175,                 1.0747,                0.57503,                 1.0931,                0.00802,                0.00802,                0.00802
                     42,                 1.1054,                0.70017,                 1.0919,                0.94754,                 0.8749,                0.90928,                0.61642,                 1.0802,                0.57428,                 1.0992,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1043,                0.69881,                 1.0952,                0.95972,                0.87484,                0.91411,                 0.6194,                 1.0724,                0.57574,                 1.0942,               0.007921,               0.007921,               0.007921
                     44,                 1.1084,                0.69463,                 1.0942,                 0.9581,                0.87767,                0.91365,                0.61091,                 1.0915,                0.57311,                 1.0912,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0938,                0.68204,                 1.0872,                0.96756,                0.87201,                0.91781,                0.62489,                 1.0668,                0.56762,                  1.088,               0.007822,               0.007822,               0.007822
                     46,                 1.1163,                0.70422,                 1.1154,                  0.961,                0.88048,                0.91915,                0.62097,                 1.0688,                0.55407,                 1.0871,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0772,                0.67355,                 1.0796,                0.96744,                0.87106,                 0.9169,                0.62082,                 1.0753,                0.55688,                  1.084,               0.007723,               0.007723,               0.007723
                     48,                 1.0759,                0.66783,                 1.0791,                0.95731,                 0.8821,                0.91852,                0.62185,                 1.0661,                0.55386,                 1.0881,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0779,                0.67409,                 1.0803,                0.95481,                 0.8864,                0.92117,                0.62328,                 1.0671,                0.56028,                 1.0893,               0.007624,               0.007624,               0.007624
                     50,                 1.0774,                0.66535,                 1.0754,                0.96939,                0.88423,                0.92622,                 0.6317,                 1.0525,                0.54006,                 1.0755,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0717,                0.65146,                 1.0692,                0.96911,                0.88044,                 0.9222,                0.62301,                 1.0651,                0.54198,                 1.0819,               0.007525,               0.007525,               0.007525
                     52,                 1.0782,                0.66362,                 1.0723,                0.96881,                0.88055,                 0.9188,                0.62864,                 1.0525,                0.54718,                 1.0773,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0547,                0.65077,                 1.0725,                0.96355,                0.88253,                0.91809,                0.62414,                 1.0565,                0.54235,                 1.0737,               0.007426,               0.007426,               0.007426
                     54,                 1.0588,                0.65041,                 1.0609,                0.96253,                0.87974,                0.91746,                0.62921,                 1.0452,                0.54919,                 1.0689,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0636,                0.65263,                 1.0718,                0.95719,                0.88477,                0.91647,                0.63006,                  1.052,                0.54204,                 1.0801,               0.007327,               0.007327,               0.007327
                     56,                 1.0464,                0.63633,                  1.063,                 0.9656,                0.88678,                0.92366,                0.63088,                 1.0537,                0.53772,                 1.0726,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0465,                 0.6435,                 1.0657,                0.96318,                0.88355,                0.92451,                0.63087,                 1.0553,                 0.5333,                 1.0792,               0.007228,               0.007228,               0.007228
                     58,                 1.0509,                0.63829,                  1.066,                0.96229,                   0.89,                0.92311,                0.63499,                 1.0461,                0.52757,                 1.0774,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0424,                0.63686,                 1.0623,                0.96112,                0.89048,                0.92249,                0.63509,                 1.0429,                  0.527,                 1.0761,               0.007129,               0.007129,               0.007129
                     60,                 1.0428,                0.63643,                 1.0637,                0.95884,                0.89301,                  0.926,                0.63352,                 1.0447,                 0.5324,                 1.0707,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0511,                0.64378,                 1.0678,                0.97181,                0.88597,                0.92655,                0.63587,                 1.0346,                0.52528,                 1.0674,                0.00703,                0.00703,                0.00703
                     62,                 1.0313,                0.62952,                 1.0599,                0.95946,                 0.8909,                0.92922,                 0.6371,                 1.0425,                 0.5264,                 1.0701,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0258,                0.62488,                 1.0544,                  0.963,                0.88898,                0.92771,                0.64173,                 1.0352,                0.52078,                 1.0701,               0.006931,               0.006931,               0.006931
                     64,                 1.0364,                0.64786,                 1.0588,                0.96745,                0.88864,                0.92655,                0.63753,                 1.0392,                0.52356,                 1.0689,              0.0068815,              0.0068815,              0.0068815
